序号,流程阶段,模块,功能/需求点,需求描述,适用模型,工时(人·日),优先级,设计文档,状态
82,S9 持久化,状态管理,异步保存与故障恢复,dcp.async_save 后台写入 + DistributedSignalHandler + LATEST symlink 原子更新 + 断点续训,全部,1,P0,04,未实现
83,S10 高级并行,流水线并行,PP 层切分,transformer 层按 PP size 均分到不同 GPU，管理跨 stage 激活传递,全部,1.5,P1,06,未实现
84,S10 高级并行,流水线并行,PP 调度策略,GPipe（同步）/ 1F1B（异步交错）两种调度 + causal mask 预计算,全部,1.5,P1,06,未实现
85,S10 高级并行,显存优化,激活检查点,checkpoint_wrapper 每层包裹，full/selective 开关，以计算换显存,全部,1,P0,06,未实现
86,S10 高级并行,混合精度,混合精度策略,param_dtype/reduce_dtype/output_dtype 配置（bf16/fp16）,全部,0.5,P0,06,未实现
87,S10 高级并行,混合精度,特定模块精度隔离,指定模块（norm/router 等）固定 fp32，不随全局 dtype 转换,全部（DeepSeek V3/V4 router 敏感）,0.5,P1,06,未实现
88,S10 高级并行,验证,高级并行 E2E 测试,PP=2/4 loss 一致 + AC 显存降低 >30%,全部,1,P1,—,未实现
89,S11 模型交付,DeepSeek V3/V4,架构接入与注册,基于 HuggingFace 接入：架构注册 + HFCheckpointingMixin + from_pretrained 全链路,DeepSeek V3/V4,1,P0,01 §12,未实现
90,S11 模型交付,DeepSeek V3/V4,MLA 注意力分片,planner 级已实现：_DEEPSEEK_MLA_OVERRIDES 内置 ARCH_OVERRIDES（D-13：q_a/kv_a 下投影 → REPLICATED（latent 维不切），q_b/kv_b 上投影 → COLWISE（head 维），o_proj 仍 ROWWISE；architectures 与 model_type 双拼写注册，v2/v3 同构）；无端到端训练验证,DeepSeek V3/V4,2,P0,05 §3.6.1/§12.2 D-13,部分实现
91,S11 模型交付,DeepSeek V3/V4,细粒度 expert EP 分片,"EP 直通已实现：D-09/D-10 覆盖细粒度 routed experts（deepseekv3 sigmoid-group router adapter + 派生 expert mesh (edp,ep) + region 内 a2a），shared expert 走 SHARED_EXPERT 角色；DeepEP/UCCL-EP 后端 token dispatcher 未实现",DeepSeek V3/V4,2,P0,05 §6.4.7/§6.4.8,部分实现
92,S11 模型交付,DeepSeek V3/V4,MTP 模块适配,Multi-Token Prediction 模块的分片与损失链路接入,DeepSeek V3/V4,1,P1,—,未实现
93,S11 模型交付,DeepSeek V3/V4,权重映射与 E2E 测试,V3/V4 权重键名映射 + TP/EP 组合 100 步训练 + 输出与 HF 参考容差 1e-5,DeepSeek V3/V4,1.5,P0,04 §5.4,未实现
94,S11 模型交付,Qwen3.5,Dense 架构实现,GatedDeltaNet 层 + MTP 特殊逻辑 + 架构注册,Qwen3.5,1.5,P0,01 §12,未实现
95,S11 模型交付,Qwen3.5,架构覆盖规则,已实现：GatedDeltaNet SPECIAL 角色 + gated_delta_tp_shard SpecialHandler（按 SSM head 切分，含 a_log/dt_bias 模式映射），components/distributed 交付并测绿；模型级接入属上行条目,Qwen3.5,1,P0,05 §6.4.6,已实现
96,S11 模型交付,Qwen3.5,MoE 架构实现,MoE expert 合并 + EP 分片已实现（D-09/D-10：qwen3moe router adapter + 堆叠/batched 直通 + 派生 expert mesh）；FSDP2 下 expert 梯度同步待 D-12 集成接线,Qwen3.5,2,P0,05 §6.4,部分实现
97,S11 模型交付,Qwen3.5,E2E 测试,Dense/MoE 两变体 TP=2/4 100 步 + 输出容差 1e-5,Qwen3.5,1,P0,—,未实现
98,S11 模型交付,GLM-Image,VLM 架构接入,基于 HuggingFace：vision encoder + LLM 的 ForImageTextToText 接入与架构注册,GLM-Image,1.5,P0,01 §6.1,未实现
99,S11 模型交付,GLM-Image,mRoPE 位置编码适配,多模态旋转位置编码的 reshape 边界处理（R7：Shard(N) 无法表达逻辑轴——用户显式声明 reshape 后模块的 in_src）,GLM-Image,1,P0,05 §3.6.5 局限性,未实现
100,S11 模型交付,GLM-Image,权重层级映射,VLM 视觉塔/投影层/语言模型的权重键名层级映射,GLM-Image,1,P0,04 §5.4,未实现
101,S11 模型交付,GLM-Image,E2E 测试,图文混合 batch TP=2 训练 100 步 + 与 HF 参考一致,GLM-Image,1,P0,—,未实现
102,S11 模型交付,Pangu(自研),自研模型类实现,走内置自研路径（非 HF AutoModel）：模型结构实现 + 内置模型注册表接入,Pangu(自研),2.5,P0,01 §5/§7,未实现
103,S11 模型交付,Pangu(自研),权重与分词器适配,Pangu 私有权重格式与词表的加载适配（键名映射 + safetensors 加载路径）,Pangu(自研),1,P0,04,未实现
104,S11 模型交付,Pangu(自研),分片规则注册,Pangu 命名的 ARCH_OVERRIDES + 特殊参数 SpecialHandler 注册,Pangu(自研),1,P0,05 §8.3,未实现
105,S11 模型交付,Pangu(自研),E2E 测试,Pangu TP=2/4 训练 100 步 + 与参考实现对拍,Pangu(自研),1,P0,—,未实现
106,S12 CLI与监控,命令行,命令行入口,hyper-parallel config.yaml --train.max_steps 500 风格 CLI,全部,1,P1,—,未实现
107,S12 CLI与监控,日志,控制台与文件日志,Rank 0 控制台输出 + JSONL 文件记录,全部,0.5,P1,—,未实现
108,S12 CLI与监控,日志,远程日志上报,WandB + MLflow 对接,全部,0.5,P2,—,未实现
109,S12 CLI与监控,指标,训练指标计算,loss / grad_norm / lr / tokens/sec / MFU,全部,0.5,P1,—,未实现
110,S12 CLI与监控,模板,配置模板,4 套 YAML 参考配置（DeepSeek MoE / Qwen3.5 / GLM-Image VLM / Pangu 多节点）,全部,0.5,P1,—,未实现
111,S13 质量保障,等价性验证,零拷贝正确性验证,已实现：DTensor._local_tensor 修改与全局视图同步（data_ptr 共享断言），tests/components/distributed 覆盖,全部,0.5,P0,05 §4.4,已实现
112,S13 质量保障,等价性验证,校验/生产模式等价性,两模式输出/梯度等价用例已交付（test_dist_s5_mode_equiv / test_dist_s5_grad_equiv）；FSDP2 梯度同步集成测试待 D-12 接线后补（当前 grad_equiv.py 模拟旁路）,全部,1,P0,05 §5.5,部分实现
113,S13 质量保障,等价性验证,分片通信组合覆盖,已实现：所有 in_src→in_dst 组合的 PrecompiledBoundary 正确性（identity/all_gather/reduce_scatter/all_reduce/redistribute 5 种 collective × 2 模式）,全部,0.5,P0,05 §4.3,已实现
114,S13 质量保障,模型兼容,交付模型兼容性测试,DeepSeek V3/V4、Qwen3.5、GLM-Image、Pangu from_pretrained 推理与参考一致,DeepSeek V3/V4 / Qwen3.5 / GLM-Image / Pangu(自研),1,P0,—,未实现
115,S13 质量保障,持久化验证,Checkpoint 往返测试,save→load 一致 + 跨 TP 配置加载 + 断点续训 loss 连续,全部,0.5,P0,04,未实现
116,S13 质量保障,端到端,端到端训练验收,交付模型 8 GPU 1000 步 loss 正常下降 + 断点续训,全部,1,P0,—,未实现
117,S13 质量保障,文档,迁移指南,旧配置 → 新配置映射 + API 变化对照,全部,0.5,P2,—,未实现
118,S13 质量保障,文档,快速入门与自定义模型指南,5 步跑通第一个训练 + 新模型添加 ShardingTemplate/ARCH_OVERRIDES 指南,全部,1,P1,—,未实现
119,S13 质量保障,文档,配置参考手册与设计文档校对,YAML 字段完整说明 + 设计文档最终更新（含实施校准回写）,全部,0.5,P1,—,未实现
